,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Sao Jose Da Coroa Grande,BR,75.18,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
424,Tabou,CI,76.26,light rain,4.423,-7.3528,hotêl doufoulougou
426,Pombas,CV,76.78,few clouds,17.1503,-25.0201,Paul Paradis
431,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
434,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
438,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
439,Kerewan,GM,80.24,clear sky,13.4898,-16.0888,ADWAC Residents
440,Eyl,SO,77.85,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
442,Obidos,BR,80.76,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
449,Maues,BR,76.64,overcast clouds,-3.3836,-57.7186,Hotel Miramar
451,Santa Rosa,PH,79.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
458,Mahibadhoo,MV,81.43,broken clouds,3.7833,72.9667,Omadhoo Inn
463,Malpe,IN,76.3,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
465,Takoradi,GH,76.98,light rain,4.8845,-1.7554,Raybow International Hotel
469,Dwarka,IN,79.36,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
474,Bama,NG,77.86,scattered clouds,11.5221,13.6856,UN Humanitarian Hub
480,Puerto Colombia,CO,77.09,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
481,Duque De Caxias,BR,75.09,broken clouds,-22.7856,-43.3117,Mont Blanc Apart Hotel
482,Sal Rei,CV,77.99,clear sky,16.1833,-22.9167,Marine Club Beach Resort
485,Deshnok,IN,76.14,clear sky,27.7986,73.3447,Royal Karni palace
489,Dosso,NE,83.07,overcast clouds,13.049,3.1937,Hotel Toubal
497,Am Timan,TD,78.55,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
508,Jati,PK,75.58,scattered clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
509,Pathanamthitta,IN,76.73,broken clouds,9.2667,76.7833,Rose Petals
517,Ibotirama,BR,84.85,scattered clouds,-12.1853,-43.2206,Serra do Rio Hotel
522,Niamey,NE,86.29,broken clouds,13.5137,2.1098,Soluxe Hotel Niamey
524,Bonito,BR,75.94,broken clouds,-21.1211,-56.4819,Marruá Hotel
525,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
530,Marsh Harbour,BS,76.84,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
536,Balotra,IN,77.2,few clouds,25.8333,72.2333,Hotel City Square
537,Chapada Dos Guimaraes,BR,76.66,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
539,Vieux Fort,LC,81.72,scattered clouds,13.7167,-60.95,Cedar Palm Villa
540,Canto Do Buriti,BR,87.75,broken clouds,-8.11,-42.9444,Novo Hotel
549,Biltine,TD,82.72,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
554,Tucurui,BR,82.44,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
556,Dapaong,TG,78.55,few clouds,10.8639,0.205,Hotel Caroli
562,Matara,LK,76.91,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
563,Moengo,SR,78.24,broken clouds,5.6167,-54.4,Masanga
574,Silao,MX,76.14,broken clouds,20.9333,-101.4333,"Holiday Inn Express Silao-Aeropuerto Bajio, an IHG Hotel"
585,Acarau,BR,79.48,scattered clouds,-2.8856,-40.12,castelo pizzaria
586,Presidente Epitacio,BR,77.79,clear sky,-21.7633,-52.1156,Hotel Itaverá
589,Omidiyeh,IR,80.06,broken clouds,30.7597,49.705,Royal Complex
608,Nisia Floresta,BR,77.81,few clouds,-6.0911,-35.2086,Rancho Crepusculo
613,Weligama,LK,77.45,heavy intensity rain,5.9667,80.4167,Weligama Bay Resort
617,Hurghada,EG,77.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
626,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
640,Lucea,JM,75.85,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
646,Muscat,OM,78.82,broken clouds,23.6139,58.5922,Mutrah Hotel
650,Barra Dos Coqueiros,BR,78.82,scattered clouds,-10.9089,-37.0386,Quality Hotel Aracaju
658,Monte Alegre De Minas,BR,78.33,broken clouds,-18.8706,-48.8808,Hotel Via Hotel
661,Tougan,BF,82.54,scattered clouds,13.0667,-3.0667,Hôtel SMAK
667,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
670,Paragominas,BR,79.05,broken clouds,-2.9667,-47.4833,INOVA
680,Joao Pinheiro,BR,79.7,scattered clouds,-17.7425,-46.1725,Hotel Santos
686,Ayorou,NE,86.27,scattered clouds,14.7308,0.9174,Hotel Amenokal
687,Iracoubo,GF,79.93,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
689,Amalapuram,IN,75.25,scattered clouds,16.5833,82.0167,swayamprabha service apartments
