City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Bandundu,CD,-3.3167,17.3667,74.21,84,42,3.89,scattered clouds
142,Melilla,ES,35.2937,-2.9383,70.18,94,100,5.75,overcast clouds
143,Touros,BR,-5.1989,-35.4608,78.03,77,26,19.46,scattered clouds
144,Stornoway,GB,58.2093,-6.3865,47.93,87,77,1.99,broken clouds
145,Torbay,CA,47.6666,-52.7314,55.76,96,100,6.91,overcast clouds
146,Gat,IL,31.61,34.7642,69.4,71,64,1.61,broken clouds
147,Derzhavinsk,KZ,51.1,66.3167,43.43,78,100,12.03,overcast clouds
148,Casablanca,MA,33.5928,-7.6192,69.33,88,100,1.99,overcast clouds
149,Ovalle,CL,-30.5983,-71.2003,62.96,53,23,4.88,few clouds
150,Natal,BR,-5.795,-35.2094,77.65,78,20,11.5,few clouds
151,Conceicao Das Alagoas,BR,-19.9147,-48.3883,78.58,52,65,9.19,broken clouds
152,Axim,GH,4.8699,-2.2405,77.14,87,34,6.89,light rain
153,Kasempa,ZM,-13.4584,25.8338,67.28,36,27,5.53,scattered clouds
154,Lubumbashi,CD,-11.6609,27.4794,66.22,35,12,3.13,few clouds
155,Paamiut,GL,61.994,-49.6678,33.01,64,63,33.02,broken clouds
156,Finnsnes,NO,69.2296,17.9811,38.75,84,100,2.53,overcast clouds
157,Mehamn,NO,71.0357,27.8492,37.31,69,75,29.93,broken clouds
158,Thompson,CA,55.7435,-97.8558,35.76,93,75,5.75,broken clouds
159,Cap Malheureux,MU,-19.9842,57.6142,66.47,72,18,1.99,few clouds
160,Cayenne,GF,4.9333,-52.3333,80.64,83,0,6.91,clear sky
161,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,100,10.36,overcast clouds
162,Marsa Matruh,EG,31.3525,27.2453,69.01,74,0,1.68,clear sky
163,Zwickau,DE,50.7167,12.4833,42.91,87,92,4.36,overcast clouds
164,Dalvik,IS,65.9702,-18.5286,40.93,74,100,7.09,overcast clouds
165,Visnes,NO,59.3556,5.2242,45.21,93,40,2.3,scattered clouds
166,Galateni,RO,44.2167,25.35,53.62,44,1,4.83,clear sky
167,Mabaruma,GY,8.2,-59.7833,76.14,91,40,3.91,scattered clouds
168,Giresun,TR,40.5,38.5,38.5,95,80,7.27,broken clouds
169,Cockburn Town,TC,21.4612,-71.1419,83.07,75,13,9.69,few clouds
170,Ilo,PE,-17.6394,-71.3375,61.72,81,11,8.23,few clouds
